frame,nose_x,nose_y,nose_detected,left_eye_x,left_eye_y,left_eye_detected,right_eye_x,right_eye_y,right_eye_detected,left_ear_x,left_ear_y,left_ear_detected,right_ear_x,right_ear_y,right_ear_detected,left_shoulder_x,left_shoulder_y,left_shoulder_detected,right_shoulder_x,right_shoulder_y,right_shoulder_detected,left_elbow_x,left_elbow_y,left_elbow_detected,right_elbow_x,right_elbow_y,right_elbow_detected,left_wrist_x,left_wrist_y,left_wrist_detected,right_wrist_x,right_wrist_y,right_wrist_detected,left_hip_x,left_hip_y,left_hip_detected,right_hip_x,right_hip_y,right_hip_detected,left_knee_x,left_knee_y,left_knee_detected,right_knee_x,right_knee_y,right_knee_detected,left_ankle_x,left_ankle_y,left_ankle_detected,right_ankle_x,right_ankle_y,right_ankle_detected
0,[     2586.6],[     244.42],True,[     2590.8],[     236.17],True,[          0],[          0],True,[     2609.9],[     231.83],True,[          0],[          0],True,[     2654.2],[     254.09],True,[     2619.9],[     271.77],True,[     2685.3],[     293.18],True,[     2657.9],[     329.21],True,[     2643.1],[     331.64],True,[     2639.2],[     356.66],True,[     2714.8],[     372.73],True,[     2677.8],[     382.56],True,[     2761.9],[     457.53],True,[       2643],[     463.88],True,[     2832.8],[     532.22],True,[     2708.5],[     541.41],True
1,[       2611],[     247.05],True,[     2615.9],[     238.55],True,[          0],[          0],True,[     2636.2],[     233.41],True,[          0],[          0],True,[     2672.3],[     258.98],True,[     2660.2],[     267.14],True,[     2714.6],[     296.05],True,[     2689.6],[      322.6],True,[     2676.4],[     336.73],True,[     2666.4],[     358.68],True,[     2741.7],[     373.22],True,[     2727.7],[     377.53],True,[     2749.4],[     468.82],True,[     2721.4],[     472.84],True,[     2836.7],[     546.19],True,[     2779.6],[     549.96],True
2,[     2599.4],[     250.16],True,[     2602.5],[     241.25],True,[          0],[          0],True,[     2619.3],[     234.42],True,[          0],[          0],True,[     2662.6],[     256.58],True,[       2637],[      270.9],True,[     2702.7],[     287.57],True,[     2668.8],[     329.41],True,[     2670.5],[      335.4],True,[     2653.4],[     363.98],True,[     2732.8],[     375.58],True,[     2705.8],[     382.99],True,[     2752.1],[      467.5],True,[       2693],[        475],True,[     2841.6],[     534.51],True,[     2748.3],[     555.65],True
3,[     786.77],[     76.497],True,[     787.45],[     73.701],True,[          0],[          0],True,[     2599.7],[     238.31],True,[          0],[          0],True,[       2646],[     257.38],True,[     2621.6],[     276.18],True,[     2687.3],[     286.11],True,[     2658.9],[     337.35],True,[     2662.2],[     337.82],True,[     803.18],[     111.23],True,[     2716.7],[     376.84],True,[     2690.1],[     386.89],True,[     2739.6],[     466.85],True,[     2679.5],[     476.93],True,[     2835.2],[     524.78],True,[     2736.6],[     558.84],True
4,[     7.9202],[     1.7916],True,[     7.6072],[     1.6336],True,[          0],[          0],True,[     2588.1],[     241.48],True,[          0],[          0],True,[     2634.2],[     259.87],True,[     2612.9],[     279.63],True,[     2676.4],[        287],True,[     2652.6],[     347.15],True,[     2655.2],[     342.53],True,[     8.1751],[     2.5107],True,[     2703.2],[     378.98],True,[     2678.9],[     389.48],True,[     2723.2],[     471.09],True,[     2671.9],[     478.69],True,[     2823.7],[     517.01],True,[       2730],[     560.18],True
5,[    -355.91],[    -33.171],True,[     1009.9],[     101.54],True,[          0],[          0],True,[     2581.2],[     245.07],True,[          0],[          0],True,[     2626.7],[     265.22],True,[     2605.7],[     282.61],True,[     2666.1],[     292.61],True,[     2643.6],[     350.41],True,[     2647.7],[     352.19],True,[     1037.3],[     160.63],True,[     2693.5],[     381.11],True,[     2670.4],[     390.47],True,[     2707.6],[     478.06],True,[     2666.7],[      483.8],True,[     2808.3],[     516.14],True,[     2728.3],[     558.65],True
6,[      708.6],[     74.568],True,[     1618.7],[     161.23],True,[          0],[          0],True,[     2578.1],[     247.03],True,[          0],[          0],True,[     2624.3],[     268.74],True,[     2603.5],[     283.05],True,[     2660.8],[     295.13],True,[     2638.3],[     350.73],True,[     2642.8],[     357.73],True,[     1661.2],[     256.31],True,[     2689.4],[     381.43],True,[     2665.8],[      389.7],True,[     2700.5],[     481.61],True,[     2666.6],[     485.99],True,[     2800.5],[     511.13],True,[     2730.1],[     558.09],True
7,[     270.22],[     30.683],True,[     2009.1],[     200.19],True,[          0],[          0],True,[       2575],[     248.72],True,[          0],[          0],True,[     2619.9],[     272.52],True,[     2599.5],[     284.69],True,[     2657.1],[     303.25],True,[       2631],[     351.97],True,[       2637],[     366.23],True,[       2057],[     319.91],True,[     2685.8],[     382.78],True,[       2664],[     389.84],True,[     2689.3],[     484.74],True,[     2662.8],[      487.1],True,[     2789.7],[     515.63],True,[     2730.7],[     552.58],True
8,[    -1.5639],[      3.263],True,[     2263.3],[     227.23],True,[          0],[          0],True,[       2567],[     250.23],True,[          0],[          0],True,[     2612.5],[     274.65],True,[     2592.9],[     284.41],True,[       2650],[     316.54],True,[     2620.8],[      352.5],True,[     2623.6],[     378.55],True,[     2314.4],[     362.63],True,[     2678.4],[      383.8],True,[     2659.5],[     389.54],True,[     2674.9],[     485.27],True,[     2659.4],[     485.56],True,[     2772.5],[     524.11],True,[     2740.8],[     539.77],True
9,[     844.39],[     91.233],True,[     2433.3],[     245.14],True,[          0],[          0],True,[     2561.3],[      250.9],True,[          0],[          0],True,[     2605.3],[      275.4],True,[     2585.5],[     286.28],True,[       2644],[     319.11],True,[     2607.7],[     351.61],True,[       2619],[     376.48],True,[     2479.3],[     388.19],True,[     2668.6],[     382.06],True,[     2650.9],[     387.78],True,[     2659.2],[     479.94],True,[       2648],[     481.43],True,[     2750.8],[     523.02],True,[     2726.9],[     530.08],True
10,[     499.37],[     55.362],True,[     2539.4],[     256.81],True,[          0],[          0],True,[     2551.2],[     251.74],True,[          0],[          0],True,[     2595.5],[     276.12],True,[     2577.9],[     288.87],True,[     2636.4],[     319.86],True,[     2596.6],[     352.59],True,[     2610.2],[     375.15],True,[     2581.1],[     405.61],True,[     2658.9],[     380.78],True,[     2644.2],[     386.98],True,[     2642.9],[      477.5],True,[     2638.3],[     480.95],True,[     2725.9],[     527.39],True,[     2715.5],[      529.8],True
11,[     1200.5],[     129.61],True,[     2602.9],[     264.77],True,[          0],[          0],True,[     2543.4],[     252.63],True,[          0],[          0],True,[     2587.9],[      277.1],True,[     2568.5],[     291.33],True,[     2628.4],[     319.87],True,[     2582.9],[     352.94],True,[     2603.8],[     371.95],True,[     2635.3],[      417.6],True,[     2651.3],[     381.13],True,[     2636.8],[     387.59],True,[     2626.2],[     476.36],True,[     2625.3],[      480.7],True,[     2703.6],[     528.64],True,[     2702.6],[     526.91],True
12,[     1737.5],[     186.32],True,[     2636.8],[     269.19],True,[          0],[          0],True,[     2538.2],[     253.09],True,[          0],[          0],True,[     2582.9],[     277.58],True,[     2562.1],[     293.13],True,[     2622.9],[     319.43],True,[     2573.5],[     353.32],True,[     2599.4],[     369.05],True,[     2662.4],[     424.17],True,[     2646.5],[     381.26],True,[       2632],[     388.02],True,[     2615.1],[     475.31],True,[       2616],[     480.44],True,[     2688.8],[     529.38],True,[     2693.3],[     525.21],True
13,[     2129.8],[     227.19],True,[     2644.6],[     269.68],True,[          0],[          0],True,[     2531.7],[     252.02],True,[          0],[          0],True,[       2574],[     276.69],True,[     2558.3],[     292.36],True,[     2610.5],[     322.14],True,[     2566.3],[     353.51],True,[     2580.8],[     369.28],True,[     2665.9],[     424.44],True,[     2641.4],[     381.14],True,[     2631.7],[     388.03],True,[     2601.2],[     476.31],True,[     2615.8],[     481.44],True,[     2673.7],[     533.34],True,[     2699.6],[     526.59],True
14,[     2404.9],[     257.51],True,[     2637.3],[     271.02],True,[          0],[          0],True,[     2525.4],[     253.34],True,[          0],[          0],True,[     2567.3],[     276.27],True,[     2547.7],[      297.2],True,[     2605.6],[      314.4],True,[     2555.7],[     357.04],True,[     2569.9],[     362.47],True,[     2652.7],[     419.58],True,[       2634],[     381.73],True,[     2619.7],[     389.57],True,[     2605.7],[     475.55],True,[     2597.3],[     476.91],True,[     2683.7],[     540.65],True,[     2676.1],[     526.16],True
15,[       1663],[     178.42],True,[     1697.9],[     175.27],True,[          0],[          0],True,[       2517],[     254.23],True,[          0],[          0],True,[     2557.5],[     276.64],True,[     2548.2],[     299.73],True,[     2596.8],[     307.29],True,[     2547.5],[     359.18],True,[     2555.9],[     353.52],True,[     2628.7],[     410.68],True,[     2620.8],[     380.09],True,[     2619.7],[     389.21],True,[     2577.7],[     465.29],True,[     2606.4],[     477.21],True,[     2648.6],[     538.08],True,[     2690.4],[     533.18],True
16,[     1978.1],[      210.7],True,[       1887],[      194.1],True,[          0],[          0],True,[     2508.7],[     253.09],True,[          0],[          0],True,[     2549.8],[     275.26],True,[     2540.7],[     298.79],True,[     2588.2],[      305.1],True,[     2538.4],[     358.02],True,[     2533.3],[     350.27],True,[     2600.7],[     399.77],True,[     2609.2],[     379.34],True,[     2611.7],[     389.08],True,[     2555.9],[     458.85],True,[     2607.8],[     477.82],True,[     2616.5],[     540.27],True,[     2697.5],[     541.16],True
17,[       2211],[     233.35],True,[     2047.7],[     209.25],True,[          0],[          0],True,[     2495.2],[     251.24],True,[          0],[          0],True,[     2534.2],[     275.45],True,[     2531.8],[      291.9],True,[     2567.9],[     310.06],True,[     2527.6],[     350.32],True,[     2506.9],[     346.38],True,[     2566.5],[     383.63],True,[     2594.9],[     379.04],True,[     2601.1],[     385.96],True,[     2547.6],[     457.36],True,[     2595.3],[      473.3],True,[     2606.5],[     544.71],True,[     2675.2],[     544.33],True
18,[     2378.1],[      249.4],True,[     2182.6],[     221.84],True,[          0],[          0],True,[     2486.2],[     249.63],True,[          0],[          0],True,[     2525.5],[     274.62],True,[     2520.9],[     287.24],True,[     2554.5],[     312.08],True,[     2518.5],[      345.9],True,[     2489.2],[     343.33],True,[     2537.3],[     370.95],True,[     2588.6],[     379.41],True,[     2586.4],[     384.22],True,[     2565.7],[     459.52],True,[     2565.2],[     466.91],True,[     2636.2],[     547.26],True,[     2627.4],[     547.06],True
19,[     2490.9],[     260.69],True,[       2291],[     231.99],True,[          0],[          0],True,[     2481.7],[      247.1],True,[          0],[          0],True,[     2520.8],[     271.98],True,[     2508.7],[     286.34],True,[     2551.4],[     309.51],True,[     2505.3],[     345.08],True,[     2486.6],[     335.04],True,[     2510.8],[     361.37],True,[     2582.1],[     377.91],True,[     2570.3],[     383.87],True,[     2578.3],[     458.08],True,[     2540.4],[      464.4],True,[       2657],[     546.26],True,[     2584.6],[     550.22],True
20,[     1650.6],[     172.48],True,[     2365.2],[     238.12],True,[          0],[          0],True,[     2471.9],[     244.32],True,[          0],[          0],True,[     2511.9],[     269.25],True,[     2497.9],[     283.92],True,[       2547],[     304.81],True,[     2488.7],[     338.18],True,[     2480.6],[     322.33],True,[     2484.6],[     347.85],True,[     2569.8],[      375.1],True,[     2564.3],[     381.03],True,[       2547],[     454.91],True,[     2554.9],[     463.48],True,[     2604.6],[     551.97],True,[     2610.7],[     544.94],True
21,[      989.1],[     103.09],True,[     1516.1],[     152.37],True,[          0],[          0],True,[     2462.2],[     242.15],True,[          0],[          0],True,[     2503.6],[     267.18],True,[     2486.6],[     281.57],True,[     2542.8],[     301.94],True,[     2471.6],[     331.39],True,[     2473.7],[     313.82],True,[       2459],[     336.37],True,[     2556.9],[     372.94],True,[     2555.2],[     378.56],True,[     2521.6],[     453.31],True,[     2563.7],[     463.12],True,[     2561.3],[     556.53],True,[     2629.1],[     540.15],True
22,[     1385.5],[     143.88],True,[     1753.8],[     175.85],True,[          0],[          0],True,[     2450.7],[      240.8],True,[          0],[          0],True,[     2492.4],[     266.92],True,[     2474.6],[     278.36],True,[       2533],[     306.77],True,[       2465],[      326.4],True,[     2464.7],[     309.87],True,[     2446.4],[     322.82],True,[     2543.7],[     372.43],True,[     2544.3],[     376.88],True,[     2500.1],[      454.8],True,[     2564.7],[     464.17],True,[     2525.2],[     560.37],True,[     2641.4],[     535.59],True
23,[     1715.8],[     179.07],True,[     1955.2],[     196.88],True,[          0],[          0],True,[     2441.1],[     240.43],True,[          0],[          0],True,[     2482.9],[     268.16],True,[     2460.7],[     276.49],True,[       2521],[     312.12],True,[     2450.2],[     321.33],True,[     2452.7],[     306.15],True,[       2427],[     315.29],True,[     2532.1],[     373.82],True,[     2531.7],[     377.12],True,[     2481.7],[     457.11],True,[     2559.6],[     466.33],True,[     2498.2],[     564.89],True,[     2646.7],[     528.59],True
24,[     1089.5],[     113.58],True,[     1227.1],[     123.47],True,[          0],[          0],True,[       2435],[     240.27],True,[          0],[          0],True,[     2476.8],[     269.24],True,[     2451.5],[     275.12],True,[     2512.9],[     316.31],True,[     2440.8],[     317.72],True,[     2444.9],[     304.03],True,[       2414],[     310.79],True,[     2524.6],[     375.05],True,[     2523.3],[     377.43],True,[     2469.5],[     459.13],True,[       2556],[     468.03],True,[     2480.7],[      568.1],True,[     2650.7],[     523.25],True
25,[       1491],[     156.77],True,[     1554.8],[      157.3],True,[          0],[          0],True,[     2424.8],[     240.19],True,[          0],[          0],True,[     2467.3],[     269.46],True,[     2442.2],[     275.37],True,[     2503.4],[     317.33],True,[     2435.8],[     319.14],True,[     2435.9],[     305.45],True,[     2406.1],[     306.72],True,[     2514.3],[     376.95],True,[     2512.3],[     379.38],True,[     2454.8],[     464.63],True,[       2544],[     471.35],True,[       2468],[     560.97],True,[     2643.4],[     526.95],True
26,[     1811.3],[      193.1],True,[     1823.8],[     187.33],True,[          0],[          0],True,[     2412.6],[     242.01],True,[          0],[          0],True,[     2458.3],[     270.92],True,[     2427.6],[     276.48],True,[     2491.3],[     323.49],True,[     2421.6],[     319.66],True,[     2425.2],[     310.24],True,[     2394.7],[     306.59],True,[     2503.3],[     380.16],True,[     2495.7],[     382.68],True,[     2445.4],[     469.58],True,[     2525.1],[     479.15],True,[     2461.7],[     564.36],True,[     2630.1],[     519.83],True
27,[     2056.1],[     222.95],True,[     2035.3],[      212.5],True,[          0],[          0],True,[     2401.4],[     243.28],True,[          0],[          0],True,[     2446.7],[     272.15],True,[       2419],[     275.28],True,[     2479.5],[     328.38],True,[     2416.1],[     320.39],True,[       2416],[     318.58],True,[     2382.2],[     308.04],True,[     2490.6],[        384],True,[     2482.8],[     385.16],True,[     2434.8],[     475.99],True,[     2503.7],[     480.88],True,[       2462],[     556.39],True,[     2606.3],[     520.41],True
28,[     1360.4],[     148.21],True,[     1319.3],[     138.49],True,[          0],[          0],True,[     2389.9],[     246.08],True,[          0],[          0],True,[     2433.2],[     275.49],True,[     2412.8],[     275.01],True,[     2456.8],[     334.39],True,[     2409.1],[     322.43],True,[     2398.6],[     324.87],True,[     2372.4],[     310.39],True,[     2475.4],[     387.55],True,[       2469],[     387.01],True,[     2425.8],[     480.59],True,[     2478.6],[     481.43],True,[     2467.1],[     549.66],True,[     2578.1],[     521.06],True
29,[     1678.8],[      185.9],True,[     1629.2],[      173.7],True,[          0],[          0],True,[     2376.3],[     246.14],True,[          0],[          0],True,[       2418],[     274.44],True,[     2401.4],[     274.01],True,[     2437.1],[      335.6],True,[     2399.7],[     324.73],True,[       2383],[     332.54],True,[     2361.7],[      315.2],True,[     2462.5],[     387.16],True,[     2455.3],[     386.68],True,[     2417.6],[     483.38],True,[       2455],[     482.63],True,[     2470.9],[     545.14],True,[     2549.6],[     523.79],True
30,[     1933.1],[     215.86],True,[     1882.2],[     202.27],True,[          0],[          0],True,[     2367.4],[     246.24],True,[          0],[          0],True,[     2407.5],[     273.91],True,[     2394.6],[     272.86],True,[     2422.2],[     336.34],True,[     2393.9],[     325.74],True,[     2371.7],[     337.31],True,[     2355.4],[     319.24],True,[     2454.2],[     387.07],True,[       2447],[     386.35],True,[     2412.8],[     485.67],True,[     2438.8],[     483.28],True,[     2475.3],[     541.99],True,[     2529.4],[      525.4],True
31,[     2123.2],[     238.61],True,[     2075.3],[     224.39],True,[          0],[          0],True,[     2356.9],[     246.58],True,[          0],[          0],True,[     2395.8],[     276.06],True,[     2392.7],[     271.76],True,[     2401.1],[      338.8],True,[     1505.9],[     205.74],True,[       2352],[     341.75],True,[       2341],[     322.41],True,[     2444.3],[     390.77],True,[     2441.5],[     388.51],True,[     2408.4],[     489.05],True,[     2422.2],[     484.28],True,[     2479.5],[     540.22],True,[     2506.1],[     525.28],True
32,[     2254.4],[     251.43],True,[     2213.2],[     237.08],True,[          0],[          0],True,[       2347],[     244.89],True,[          0],[          0],True,[     2384.5],[     276.79],True,[     2380.5],[     274.19],True,[     2382.9],[      337.9],True,[     1699.8],[     236.24],True,[     2335.4],[     342.07],True,[     2331.8],[     328.44],True,[     2434.3],[     390.37],True,[     2428.2],[     388.65],True,[     2403.2],[     488.15],True,[     2401.6],[     483.21],True,[     2478.5],[     539.78],True,[       2478],[     528.08],True
33,[     1486.3],[     166.25],True,[     2303.2],[     246.85],True,[          0],[          0],True,[     2333.2],[      244.3],True,[          0],[          0],True,[     2373.2],[     277.43],True,[     2370.2],[     271.29],True,[     2370.6],[     339.48],True,[     1876.5],[     257.45],True,[     2324.3],[     341.33],True,[     2324.4],[     326.19],True,[       2423],[     390.17],True,[     2415.7],[     386.73],True,[     2399.2],[      486.5],True,[       2384],[     478.98],True,[     2482.3],[     540.67],True,[       2455],[     527.96],True
34,[     1727.3],[     191.42],True,[       2354],[     250.66],True,[          0],[          0],True,[     2318.6],[     240.57],True,[          0],[          0],True,[     2360.7],[     273.85],True,[     2350.2],[     268.82],True,[       2364],[     337.33],True,[       2018],[     277.02],True,[     2315.5],[     340.09],True,[     2313.6],[      325.8],True,[     2410.3],[     388.35],True,[     2395.7],[     385.09],True,[     2396.5],[     483.31],True,[     2355.9],[     475.53],True,[     2485.1],[     543.67],True,[       2421],[     531.76],True
35,[       1080],[     119.81],True,[     2376.2],[     253.14],True,[          0],[          0],True,[     2303.5],[     239.12],True,[          0],[          0],True,[     2349.2],[      272.5],True,[     2336.9],[     267.12],True,[     2356.7],[     334.62],True,[     2130.7],[     291.39],True,[     2305.2],[     337.48],True,[     2303.2],[     324.68],True,[     2397.2],[     389.55],True,[     2379.6],[     385.64],True,[     2393.6],[     478.25],True,[     2330.9],[     469.87],True,[     2486.4],[     547.18],True,[     2384.5],[     535.38],True
36,[     585.62],[     65.079],True,[     2382.7],[     253.92],True,[          0],[          0],True,[     2293.8],[     238.17],True,[          0],[          0],True,[       2342],[     271.67],True,[     2328.5],[     265.86],True,[     2352.5],[     332.71],True,[     2218.7],[     302.22],True,[     2298.8],[     335.41],True,[     2296.8],[     323.74],True,[     2388.4],[     390.51],True,[       2369],[     386.04],True,[     2392.4],[     474.48],True,[     2314.4],[     465.62],True,[     2487.5],[     550.11],True,[     2359.7],[     537.96],True
37,[     1061.2],[     118.46],True,[       2373],[      253.8],True,[          0],[          0],True,[     2282.2],[     236.97],True,[          0],[          0],True,[     2330.4],[     268.99],True,[     2314.8],[     263.73],True,[     2345.8],[     329.85],True,[     2278.5],[     308.67],True,[     2290.1],[     336.66],True,[     2287.5],[     323.41],True,[       2377],[      388.2],True,[       2355],[     383.73],True,[     2386.8],[     471.24],True,[     2300.2],[     462.38],True,[     2482.1],[     551.48],True,[     2330.8],[     539.14],True
38,[     622.69],[     69.706],True,[     2351.8],[     251.81],True,[          0],[          0],True,[     2268.2],[     235.29],True,[          0],[          0],True,[       2317],[     266.13],True,[     2303.6],[     259.64],True,[     2335.8],[     324.74],True,[     2317.6],[        308],True,[     2282.4],[     337.88],True,[     2278.9],[      322.3],True,[     2362.7],[     386.32],True,[     2341.7],[     381.12],True,[     2378.4],[     470.84],True,[     2287.1],[     461.24],True,[     2473.8],[     554.81],True,[     2304.7],[     541.42],True
39,[     296.36],[     33.391],True,[     2326.3],[     249.72],True,[          0],[          0],True,[     2254.3],[     233.52],True,[          0],[          0],True,[     2304.1],[     262.91],True,[     2291.3],[     258.77],True,[     2324.3],[     320.57],True,[     2335.2],[     314.07],True,[     2272.5],[     332.68],True,[     2267.6],[     321.88],True,[     2349.4],[     384.94],True,[     2328.5],[     380.76],True,[     2363.2],[     469.74],True,[     2272.4],[     461.91],True,[     2460.3],[     553.23],True,[     2283.2],[     541.31],True
40,[     887.23],[     99.376],True,[     2299.2],[     247.06],True,[          0],[          0],True,[     2242.8],[     232.12],True,[          0],[          0],True,[     2292.2],[     261.26],True,[     2279.9],[     257.54],True,[     2311.7],[      318.9],True,[     2340.8],[     316.14],True,[     2260.4],[     331.76],True,[     2256.3],[     321.82],True,[     2334.4],[     384.16],True,[     2313.9],[     380.01],True,[     2346.1],[     470.19],True,[     2259.7],[     462.76],True,[     2443.5],[     552.39],True,[     2265.2],[     540.35],True
41,[     546.14],[     61.306],True,[     2270.8],[     244.03],True,[          0],[          0],True,[     2228.6],[        231],True,[          0],[          0],True,[     2277.1],[     258.45],True,[       2264],[      257.3],True,[     2301.3],[     315.67],True,[     2331.8],[     318.02],True,[     2246.4],[     329.43],True,[     2238.7],[     318.99],True,[     2319.5],[     379.91],True,[       2299],[     377.01],True,[     2326.2],[     467.37],True,[       2247],[     462.16],True,[     2419.3],[     550.38],True,[     2251.9],[     540.09],True
42,[      287.4],[     32.401],True,[     2248.2],[     241.53],True,[          0],[          0],True,[     2219.5],[     230.37],True,[          0],[          0],True,[       2267],[     256.52],True,[     2253.4],[     257.35],True,[     2294.8],[     313.25],True,[     2321.3],[     318.73],True,[     2237.1],[      327.8],True,[     2226.7],[     316.73],True,[     2309.9],[     376.63],True,[     2289.6],[     374.73],True,[     2312.4],[     465.31],True,[     2239.6],[     461.85],True,[     2401.9],[     548.82],True,[       2245],[     539.85],True
43,[     910.56],[      103.4],True,[     2225.4],[     240.55],True,[          0],[          0],True,[     2209.8],[     231.03],True,[          0],[          0],True,[     2257.6],[     257.15],True,[     2242.8],[     259.56],True,[     2288.5],[     313.07],True,[     2304.2],[     321.28],True,[     2231.3],[      326.5],True,[     2216.4],[     315.66],True,[     2298.5],[     375.88],True,[     2278.7],[     374.76],True,[     2294.9],[     464.97],True,[     2232.4],[      462.9],True,[     2380.5],[     548.49],True,[     2242.8],[     540.58],True
44,[     1063.8],[     167.07],True,[       1399],[     151.52],True,[      465.2],[     96.245],True,[     1387.8],[     145.37],True,[     458.48],[     98.034],True,[     1862.7],[      271.7],True,[       1862],[     275.16],True,[     1884.4],[     326.33],True,[     1907.6],[     334.18],True,[     1860.5],[     339.92],True,[     1849.4],[     335.58],True,[     1870.1],[     388.17],True,[     1866.5],[     387.98],True,[     1866.7],[     473.47],True,[     1857.2],[     472.76],True,[     1893.2],[     551.47],True,[     1850.3],[     549.57],True
45,[     1179.5],[     212.64],True,[     766.13],[     83.275],True,[     825.88],[     167.44],True,[      758.6],[     79.748],True,[     815.63],[      170.1],True,[     1567.3],[     280.78],True,[     1571.3],[     285.11],True,[     1130.2],[     206.87],True,[     1606.2],[     344.39],True,[     1584.3],[     345.87],True,[     1576.4],[     345.72],True,[     1552.9],[     396.45],True,[     1554.9],[     397.65],True,[     1555.5],[     478.69],True,[     1566.2],[     480.01],True,[     1543.1],[     554.09],True,[     1540.6],[     557.36],True
46,[     1263.1],[     245.67],True,[      305.7],[     33.574],True,[       1092],[     219.51],True,[      301.1],[     31.981],True,[     1080.2],[     222.72],True,[     1362.5],[     288.91],True,[       1366],[     292.66],True,[     1023.5],[      244.7],True,[     1391.9],[     352.08],True,[     1391.1],[     349.97],True,[     1387.2],[     351.77],True,[     1334.3],[     403.07],True,[     1332.8],[     404.89],True,[     1352.9],[     482.25],True,[     1342.4],[     485.18],True,[     1331.6],[     555.26],True,[     1288.7],[     562.06],True
47,[     1636.1],[     263.97],True,[     783.48],[      88.64],True,[     803.08],[     161.32],True,[     788.61],[     86.446],True,[     794.46],[     163.67],True,[     1581.5],[      283.3],True,[     1571.5],[     288.19],True,[     1340.7],[     265.09],True,[     1586.7],[     346.26],True,[     1592.1],[     339.25],True,[     1582.8],[     342.77],True,[     1568.6],[      398.3],True,[     1559.6],[     400.09],True,[     1563.8],[     477.94],True,[     1558.2],[     479.82],True,[     1559.9],[     554.29],True,[     1537.9],[     557.12],True
48,[     1912.1],[     274.52],True,[     1193.6],[      135.5],True,[     556.85],[     111.77],True,[     1206.2],[     132.68],True,[     550.93],[     113.38],True,[     1770.3],[     278.34],True,[     1749.6],[     284.06],True,[     1612.1],[      282.2],True,[     1756.3],[     340.97],True,[     1765.4],[     330.46],True,[     1752.2],[     335.21],True,[     1770.6],[      394.2],True,[     1755.6],[     395.88],True,[     1747.3],[     474.26],True,[     1744.5],[     475.14],True,[     1759.2],[     553.26],True,[     1751.7],[     552.66],True
