frame,ball_carrier_speed,tackler_speed,shoulder_wrist_height_difference,tackler_shoulder_height,ball_carrier_waist_height
0,0,0,-112.87439,264.99817,417.80826
1,120.46098232269287,394.7255802154541,-122.68445,260.03943,420.25314
2,29114.945068359375,148.55482578277588,-121.48401,263.7625,423.76816
3,0.0,77883.22265625,146.73878,315.58688,381.48746
4,0.0,0.0,143.29941,315.31958,383.856
5,0.0,77225.4052734375,-112.31287,274.69867,425.911
6,0.0,77225.4052734375,-56.279602,318.81683,385.05576
7,0.0,77003.291015625,-108.27994,277.817,425.83337
8,0.0,47726.71875,-75.36667,317.56067,385.05396
9,30229.161987304688,47336.370849609375,-101.42697,279.034,425.5708
10,30229.161987304688,454.7083282470703,-104.115326,281.33102,422.73114
11,0.0,138.0812644958496,-102.72037,283.55923,426.6407
12,0.0,10.67848026752472,-102.61282,283.62772,426.7567
13,0.0,447.92819023132324,-107.033844,279.72394,425.2298
14,31313.741455078125,194.32838916778564,-101.47101,287.65393,433.37625
15,258.9052677154541,75516.5185546875,-110.9057,284.1471,429.04333
16,149.95731353759766,74873.349609375,-114.06146,282.61743,426.30518
17,31708.135986328125,500.3971481323242,-122.088745,275.46317,421.7296
18,0.0,17.84224033355713,-121.68738,275.31512,421.89316
19,0.0,69.23084020614624,-126.74823,276.85614,419.34616
20,32622.125244140625,74410.74462890625,-130.01654,272.7621,424.65692
21,276.50965690612793,0.0,-134.008,271.4289,427.6361
22,306.00717544555664,73018.11767578125,-127.32709,271.23193,424.11987
23,44.70594763755798,212.20107078552246,-124.20557,274.3213,423.66888
24,10.657989978790283,20.274930596351624,-124.91028,274.06927,424.04547
25,684.5454025268555,747.4698829650879,-125.57736,274.22504,419.15482
26,110.68987369537354,285.1560688018799,-119.28241,277.5218,421.20966
27,369.19721603393555,256.1440372467041,-119.910736,277.08954,417.36667
28,442.40020751953125,71697.3486328125,-113.93237,277.62494,420.2928
29,370.15480041503906,70858.61572265625,-120.429504,271.86322,415.47043
30,18.70424509048462,29.894392490386963,-119.83649,271.85684,416.1374
31,440.8333969116211,292.54262924194336,-117.20303,275.8572,419.40668
32,322.39294052124023,556.19384765625,-122.60437,276.84406,420.59332
33,402.77878761291504,70071.52587890625,-116.26474,271.59354,420.8471
34,423.11551094055176,69099.06005859375,-117.7486,266.53546,423.62366
35,467.2350883483887,69099.06005859375,-119.719666,269.21472,427.2603
36,0.5267457850277424,0.0,-119.90369,269.21045,427.39056
37,225.3640079498291,68319.5361328125,-120.22458,263.4374,413.64047
38,288.87319564819336,68319.5361328125,-130.33115,258.687,422.41028
39,37059.19921875,0.0,65.9716,259.9008,411.03122
40,0.0,67182.65625,-121.57352,259.7387,417.917
41,0.0,67182.65625,-115.44443,257.68524,415.63263
42,0.0,0.0,-114.89267,257.64618,416.0257
43,0.0,66308.642578125,-112.87909,262.27292,413.81607
44,38860.400390625,366.60993576049805,-105.64218,262.53946,412.6318
45,312.84868240356445,278.6780834197998,-89.83426,265.41345,409.14896
46,206.33176803588867,490.3912353515625,-85.532196,267.20276,410.5697
47,572.1526336669922,370.4524898529053,-89.641235,268.38135,409.9145
48,8.284472823143005,18.15118432044983,-89.06033,268.4405,410.1048
49,649.7142791748047,454.80517387390137,-89.62756,265.73083,405.50128
50,260.38461685180664,454.71073150634766,92.392395,269.41498,406.33368
51,40657.738037109375,297.8910541534424,-91.375854,262.40002,407.90027
52,0.0,457.25114822387695,-97.18906,263.59555,413.81683
53,41883.409423828125,226.86079502105713,-89.46765,263.99042,416.99347
54,24.324417114257812,4.629619270563126,-89.41809,264.15167,417.07422
55,169.3216609954834,62986.60400390625,-89.199554,267.24545,420.11133
56,655.1740837097168,0.0,-95.882355,263.50943,418.10724
57,42672.8759765625,61670.185546875,-84.99173,267.67557,414.34143
58,0.0,61670.185546875,-88.19687,264.16187,410.18243
59,0.0,0.0,-82.22812,269.5709,413.48526
60,0.0,0.0,-83.582184,269.71866,413.1237
61,43996.5087890625,60432.506103515625,-83.629974,268.91925,413.6283
62,43996.5087890625,282.13348388671875,-80.22958,272.40063,410.70523
63,0.0,660.2412986755371,-61.62854,277.48462,415.68982
64,0.0,293.0526924133301,-67.26526,282.31183,407.42734
65,0.0,294.44872856140137,-62.084503,279.45114,408.14
66,0.0,11.291014552116394,-62.59497,279.60944,407.6808
67,46075.323486328125,59037.94189453125,-60.74594,284.9445,410.64056
68,46075.323486328125,58237.547607421875,-63.40805,281.6985,413.81787
69,46605.732421875,331.28382682800293,-67.53372,285.14053,414.9084
70,46605.732421875,57940.909423828125,-60.321594,288.24622,422.6338
71,0.0,0.0,-64.5694,289.9129,422.52917
72,0.0,0.0,-64.57672,289.92316,422.562
73,0.0,0.0,-70.32245,289.46094,420.92947
74,0.0,0.0,-65.492584,289.94476,418.8679
75,0.0,0.0,-59.666016,297.58533,419.50348
76,0.0,0.0,-57.21866,302.09363,415.75903
77,0.0,0.0,-41.291626,307.4712,417.07562
78,0.0,0.0,-41.394745,307.4291,417.07904
79,0.0,0.0,-32.062378,307.9214,419.512
80,0.0,0.0,147.01952,320.11215,424.09982
81,0.0,0.0,-3.342804,325.53043,421.71783
82,0.0,0.0,-3.206726,333.3078,422.47687
83,0.0,0.0,5.5843506,344.11865,425.26996
84,0.0,0.0,5.745819,343.9432,425.18628
85,0.0,0.0,17.687073,357.17377,428.73773
86,0.0,0.0,18.467896,357.71268,425.87976
87,0.0,0.0,38.888123,373.3014,423.82764
88,0.0,0.0,207.9099,380.659,425.9978
89,0.0,0.0,213.41118,387.4099,427.49252
90,0.0,0.0,213.27121,386.73553,427.04324
